[NORMAL]   20-10-06 16:41:30.220 [     4]  [OK] FormMain==>StopThreadInspectionLami
[NORMAL]   20-10-06 16:41:31.128 [   907]  [OK] FormMain==>StopThreadLive
[ABNORMAL] 20-10-06 16:41:31.134 [     5]  [FAILED] Camera Init ILightController/LightTurnOff   Execption ==> 포트가 닫혀 있습니다.
[ABNORMAL] 20-10-06 16:41:31.138 [     3]  [FAILED] Camera Init ILightController/LightTurnOff   Execption ==> 포트가 닫혀 있습니다.
[NORMAL]   20-10-06 16:41:31.142 [     3]  [OK] FormMain==>StopThreadLive
[NORMAL]   20-10-06 16:41:31.146 [     3]  [OK] FormMain==>StopThreadSupplyInspection
[NORMAL]   20-10-06 16:41:31.150 [     3]  [OK] FormMain==>StopThreadLami
[NORMAL]   20-10-06 16:41:31.154 [     3]  [OK] FormMain==>StopThreadInspectionLami
[NORMAL]   20-10-06 16:41:31.158 [     3]  [OK] ICameraJai==>Dispose
[NORMAL]   20-10-06 16:41:31.162 [     3]  [OK] ICameraJai==>Dispose
[NORMAL]   20-10-06 16:41:31.198 [    35]  [OK] FormMain==>OnClickMenu   Action ==> Exit
